19:04:35.631986 IP 192.168.184.132.netbios-ns > 192.168.184.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
19:04:37.132259 IP 192.168.184.132.netbios-ns > 192.168.184.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
19:04:38.630191 IP 192.168.184.132.netbios-ns > 192.168.184.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
19:04:43.614957 ARP, Request who-has 192.168.184.132 (Broadcast) tell 192.168.184.131, length 46
19:04:43.615679 ARP, Reply 192.168.184.132 is-at 00:0c:29:89:bb:aa (oui Unknown), length 46
19:04:43.818733 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:44.819908 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:45.819838 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:47.822741 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:48.822687 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:49.821206 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:51.451683 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:04:51.822887 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:52.610048 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:04:52.820835 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:53.449673 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:04:53.821012 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:54.451687 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:04:55.616086 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:04:56.449986 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:04:56.825850 IP 192.168.184.131.58477 > 192.168.184.132.imaps: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:59.327868 IP 192.168.184.131.51574 > 192.168.184.129.1151: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.327873 IP 192.168.184.129.65389 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.327911 IP 192.168.184.129.1151 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.328106 IP 192.168.184.131.51574 > 192.168.184.129.9593: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.328157 IP 192.168.184.131.51574 > 192.168.184.129.19780: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.328161 IP 192.168.184.129.9593 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.328199 IP 192.168.184.131.51574 > 192.168.184.129.9009: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.328202 IP 192.168.184.129.19780 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.328250 IP 192.168.184.129.9009 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.328254 IP 192.168.184.131.51574 > 192.168.184.129.48080: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.328298 IP 192.168.184.131.51574 > 192.168.184.129.2161: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.328303 IP 192.168.184.129.48080 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.328341 IP 192.168.184.129.2161 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.328345 IP 192.168.184.131.51574 > 192.168.184.129.2002: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.328391 IP 192.168.184.129.2002 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.328396 IP 192.168.184.131.51574 > 192.168.184.129.2288: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.328433 IP 192.168.184.129.2288 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.328437 IP 192.168.184.131.51574 > 192.168.184.129.7999: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.328483 IP 192.168.184.131.51574 > 192.168.184.129.3052: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.328488 IP 192.168.184.129.7999 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.328541 IP 192.168.184.129.3052 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.328545 IP 192.168.184.131.51574 > 192.168.184.129.snpp: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.328582 IP 192.168.184.129.snpp > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.328586 IP 192.168.184.131.51574 > 192.168.184.129.9594: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.328656 IP 192.168.184.129.9594 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.334836 IP 192.168.184.131.51574 > 192.168.184.129.1700: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.334880 IP 192.168.184.131.51574 > 192.168.184.129.1166: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.334885 IP 192.168.184.129.1700 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.334951 IP 192.168.184.131.51574 > 192.168.184.129.nameserver: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.334955 IP 192.168.184.129.1166 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.334956 IP 192.168.184.131.51574 > 192.168.184.129.10003: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.335004 IP 192.168.184.129.nameserver > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.335009 IP 192.168.184.131.51574 > 192.168.184.129.1244: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.335049 IP 192.168.184.129.10003 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.335053 IP 192.168.184.129.1244 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.335054 IP 192.168.184.131.51574 > 192.168.184.129.iscsi-target: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.335101 IP 192.168.184.129.iscsi-target > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.335105 IP 192.168.184.131.51574 > 192.168.184.129.255: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.335142 IP 192.168.184.129.255 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.335146 IP 192.168.184.131.51574 > 192.168.184.129.9877: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.335192 IP 192.168.184.129.9877 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.335197 IP 192.168.184.131.51574 > 192.168.184.129.1082: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.335249 IP 192.168.184.131.51574 > 192.168.184.129.593: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.335253 IP 192.168.184.129.1082 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.335292 IP 192.168.184.129.593 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.335295 IP 192.168.184.131.51574 > 192.168.184.129.35500: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.335346 IP 192.168.184.129.35500 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.335352 IP 192.168.184.131.51574 > 192.168.184.129.1164: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.335390 IP 192.168.184.131.51574 > 192.168.184.129.2998: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.335424 IP 192.168.184.129.1164 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.335426 IP 192.168.184.131.51574 > 192.168.184.129.2042: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.335479 IP 192.168.184.131.51574 > 192.168.184.129.radius: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.335484 IP 192.168.184.129.2998 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.335485 IP 192.168.184.129.2042 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.335517 IP 192.168.184.129.radius > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.335520 IP 192.168.184.131.51574 > 192.168.184.129.1131: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.335571 IP 192.168.184.129.1131 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.335575 IP 192.168.184.131.51574 > 192.168.184.129.snmp: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.335613 IP 192.168.184.129.snmp > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.335617 IP 192.168.184.131.51574 > 192.168.184.129.3031: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.335668 IP 192.168.184.131.51574 > 192.168.184.129.5925: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.335674 IP 192.168.184.129.3031 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.335714 IP 192.168.184.129.5925 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.335717 IP 192.168.184.131.51574 > 192.168.184.129.30951: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.335769 IP 192.168.184.129.30951 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.335774 IP 192.168.184.131.51574 > 192.168.184.129.7937: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.335818 IP 192.168.184.131.51574 > 192.168.184.129.vopied: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.335823 IP 192.168.184.129.7937 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.335860 IP 192.168.184.129.vopied > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.335898 IP 192.168.184.131.51574 > 192.168.184.129.sip: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.335940 IP 192.168.184.131.51574 > 192.168.184.129.6689: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.335982 IP 192.168.184.131.51574 > 192.168.184.129.28201: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.335986 IP 192.168.184.129.sip > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.336054 IP 192.168.184.131.51574 > 192.168.184.129.1721: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.336112 IP 192.168.184.131.51574 > 192.168.184.129.1028: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.336116 IP 192.168.184.129.6689 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.336117 IP 192.168.184.129.28201 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.336158 IP 192.168.184.129.1721 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.336161 IP 192.168.184.129.1028 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.336162 IP 192.168.184.131.51574 > 192.168.184.129.425: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.336233 IP 192.168.184.131.51574 > 192.168.184.129.10243: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.336239 IP 192.168.184.129.425 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.336277 IP 192.168.184.129.10243 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.336281 IP 192.168.184.131.51574 > 192.168.184.129.8402: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.336308 IP 192.168.184.129.8402 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.336310 IP 192.168.184.131.51574 > 192.168.184.129.5214: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.336362 IP 192.168.184.131.51574 > 192.168.184.129.902: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.336366 IP 192.168.184.129.5214 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.336405 IP 192.168.184.129.902 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.336408 IP 192.168.184.131.51574 > 192.168.184.129.16113: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.336497 IP 192.168.184.129.16113 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.336503 IP 192.168.184.131.51574 > 192.168.184.129.3168: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.336504 IP 192.168.184.129.3168 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.336505 IP 192.168.184.131.51574 > 192.168.184.129.4006: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.336555 IP 192.168.184.129.4006 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.336558 IP 192.168.184.131.51574 > 192.168.184.129.rsync: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.336595 IP 192.168.184.129.rsync > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.336599 IP 192.168.184.131.51574 > 192.168.184.129.7676: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.336645 IP 192.168.184.131.51574 > 192.168.184.129.50389: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.336649 IP 192.168.184.129.7676 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.336695 IP 192.168.184.129.50389 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.336699 IP 192.168.184.131.51574 > 192.168.184.129.4443: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.336742 IP 192.168.184.129.4443 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.336746 IP 192.168.184.131.51574 > 192.168.184.129.15002: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.336798 IP 192.168.184.131.51574 > 192.168.184.129.2382: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.336803 IP 192.168.184.129.15002 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.336840 IP 192.168.184.129.2382 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.336844 IP 192.168.184.131.51574 > 192.168.184.129.3476: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.336890 IP 192.168.184.129.3476 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.336894 IP 192.168.184.131.51574 > 192.168.184.129.rmiregistry: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.336934 IP 192.168.184.131.51574 > 192.168.184.129.3261: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.336976 IP 192.168.184.131.51574 > 192.168.184.129.49176: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.336980 IP 192.168.184.129.rmiregistry > 192.168.184.131.51574: Flags [S.], seq 839536460, ack 3464968687, win 5840, options [mss 1460], length 0
19:05:59.337018 IP 192.168.184.129.3261 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.337021 IP 192.168.184.131.51574 > 192.168.184.129.rmiregistry: Flags [R], seq 3464968687, win 0, length 0
19:05:59.337045 IP 192.168.184.129.49176 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.337239 IP 192.168.184.131.51574 > 192.168.184.129.1068: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.337246 IP 192.168.184.131.51574 > 192.168.184.129.nfs: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.337247 IP 192.168.184.129.1068 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.337331 IP 192.168.184.131.51574 > 192.168.184.129.407: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.337335 IP 192.168.184.129.nfs > 192.168.184.131.51574: Flags [S.], seq 846031573, ack 3464968687, win 5840, options [mss 1460], length 0
19:05:59.337337 IP 192.168.184.131.51574 > 192.168.184.129.5988: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.337389 IP 192.168.184.129.407 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.337393 IP 192.168.184.131.51574 > 192.168.184.129.nfs: Flags [R], seq 3464968687, win 0, length 0
19:05:59.337434 IP 192.168.184.129.5988 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.337438 IP 192.168.184.131.51574 > 192.168.184.129.6547: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.337602 IP 192.168.184.129.6547 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.341632 IP 192.168.184.131.51574 > 192.168.184.129.4242: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.341682 IP 192.168.184.129.4242 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.341687 IP 192.168.184.131.51574 > 192.168.184.129.19801: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.341688 IP 192.168.184.131.51574 > 192.168.184.129.3971: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.341737 IP 192.168.184.129.19801 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.341741 IP 192.168.184.131.51574 > 192.168.184.129.4662: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.341742 IP 192.168.184.131.51574 > 192.168.184.129.52848: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.341783 IP 192.168.184.129.3971 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.341788 IP 192.168.184.131.51574 > 192.168.184.129.19350: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.341788 IP 192.168.184.129.4662 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.341789 IP 192.168.184.131.51574 > 192.168.184.129.cfinger: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.341845 IP 192.168.184.129.52848 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.341849 IP 192.168.184.129.19350 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.341850 IP 192.168.184.131.51574 > 192.168.184.129.1052: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.341851 IP 192.168.184.131.51574 > 192.168.184.129.8031: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.341923 IP 192.168.184.131.51574 > 192.168.184.129.6: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.341930 IP 192.168.184.131.51574 > 192.168.184.129.5679: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.341931 IP 192.168.184.129.cfinger > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.341932 IP 192.168.184.129.1052 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.341933 IP 192.168.184.129.8031 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.341975 IP 192.168.184.129.6 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.341979 IP 192.168.184.129.5679 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.341980 IP 192.168.184.131.51574 > 192.168.184.129.366: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.341981 IP 192.168.184.131.51574 > 192.168.184.129.714: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.342025 IP 192.168.184.131.51574 > 192.168.184.129.1658: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.342029 IP 192.168.184.131.51574 > 192.168.184.129.18101: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.342030 IP 192.168.184.129.366 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.342031 IP 192.168.184.129.714 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.342081 IP 192.168.184.129.1658 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.342086 IP 192.168.184.129.18101 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.342086 IP 192.168.184.131.51574 > 192.168.184.129.8093: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.342087 IP 192.168.184.131.51574 > 192.168.184.129.52869: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.342158 IP 192.168.184.131.51574 > 192.168.184.129.4567: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.342165 IP 192.168.184.131.51574 > 192.168.184.129.16012: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.342166 IP 192.168.184.129.8093 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.342167 IP 192.168.184.129.52869 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.342205 IP 192.168.184.129.4567 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.342209 IP 192.168.184.129.16012 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.342210 IP 192.168.184.131.51574 > 192.168.184.129.8022: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.342211 IP 192.168.184.131.51574 > 192.168.184.129.2020: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.342272 IP 192.168.184.131.51574 > 192.168.184.129.1089: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.342277 IP 192.168.184.131.51574 > 192.168.184.129.26214: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.342278 IP 192.168.184.129.8022 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.342278 IP 192.168.184.129.2020 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.342321 IP 192.168.184.129.1089 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.342326 IP 192.168.184.129.26214 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.342363 IP 192.168.184.131.51574 > 192.168.184.129.311: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.342393 IP 192.168.184.129.311 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.342395 IP 192.168.184.131.51574 > 192.168.184.129.1217: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.342396 IP 192.168.184.131.51574 > 192.168.184.129.16000: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.342437 IP 192.168.184.129.1217 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.342441 IP 192.168.184.129.16000 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.342442 IP 192.168.184.131.51574 > 192.168.184.129.5631: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.342443 IP 192.168.184.131.51574 > 192.168.184.129.264: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.342512 IP 192.168.184.131.51574 > 192.168.184.129.6112: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.342518 IP 192.168.184.131.51574 > 192.168.184.129.416: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.342519 IP 192.168.184.129.5631 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.342557 IP 192.168.184.131.51574 > 192.168.184.129.2100: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.342561 IP 192.168.184.131.51574 > 192.168.184.129.6389: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.342562 IP 192.168.184.129.264 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.342595 IP 192.168.184.129.6112 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.342598 IP 192.168.184.131.51574 > 192.168.184.129.2046: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.342599 IP 192.168.184.131.51574 > 192.168.184.129.55555: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.342624 IP 192.168.184.129.416 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.342626 IP 192.168.184.129.2100 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.342673 IP 192.168.184.129.6389 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.342678 IP 192.168.184.129.2046 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.342679 IP 192.168.184.129.55555 > 192.168.184.131.51574: Flags [R.], seq 0, ack 3464968687, win 0, length 0
19:05:59.342680 IP 192.168.184.131.51574 > 192.168.184.129.8193: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
19:05:59.342681 IP 192.168.184.131.51574 > 192.168.184.129.5001: Flags [S], seq 3464968686, win 1024, options [mss 1460], length 0
